Date,Farm,Sensor Number,"Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body segments,Photo,Species? ,Photo File Name,
6/24/19,PU,3C,G,fly,1,1,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,
6/24/19,PU,1C,F,fly,1,6,2,"black head and body, black legs","big black fly eyes (50%), very long back legs, translucent wings, small black hair follicles coming off the body, around 6mm in  size",3,,,,
6/24/19,PU,1C,G,fly,4,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,,
6/24/19,PU,1C,G,fly?,1,6?,2,"lime green booty, light green wings, brown head, black eyes",,3,,,PU_2C_F_greengal.jpg,
6/24/19,PU,1C,G,flower fly,1,,,,,,,flower fly,,
6/24/19,PU,1C,G,fly,2,6,2,"aggressively blue, clear wings, kind of shiny",,,,,PU_1C_G_VERYblue.JPG,
6/24/19,PU,1C,P,black milipede,2,a lot,0,"dark top, lighter underbelly",,,,milipede,pu_1P_blackmilipede,
6/24/19,PU,1C,G,fly,20,6,2,"black iridescent, vaguely blue around the thorax, clear wings",~1mm,3,,,PU_1C_G_shinyfly_line280.JPG,
6/24/19,PU,1C,P,white milipede,1,,,white top with black stripes,,,,milipede,pu_1P_whitemilipede,
6/24/19,PU,1C,P,larva milipede/worm?,1,,,white all over,looks like a milipede but doesnt seem to have legs yet,,,,pu_1P_larvamilipede,
6/24/19,PU,1C,P,ant,1,6,0,golden brown all over,"2 long antennae coming off the top of its head, around 1mm in size",3,,,pu_1P_ant,
6/24/19,PU,1C,G,ant,1,6,0,dark brown with some golden parts,horizontally segmented abdomen with little hairs,3,,,PU_1C_G_line285.jpg,
6/24/19,PU,1C,P,black milipede,2,,,"dark top, lighter underbelly",,,,milipede,,
6/24/19,PU,1C,P,stag beetle,1,,,,around 2cm in size,,,stag beetle,pu_1C_stagbeetle,
6/24/19,PU,1C,F,lady bug,1,6,2,"red body and head with large black spots on its back and head, black legs","has 14 spots in total, around 4mm in length",2,,,,
6/24/19,PU,1C,F,flower fly ,11,,,,,,,flower fly ,,
6/24/19,PU,1C,P,beetle,1,6,0,"dark top and white belly for its head and body, white legs","long antennae coming off the front of its face, around 2mm in size",3,,,pu_1P_beetle,
6/24/19,PU,1C,F,fly (same as line 212),17,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,,
6/24/19,PU,1C,F,beetle,2,6,2,"black body,wings and legs, the head is black with two orange stripes on the sides of the head, ","black lines going down the wings and across the body, thick thighs, thick antenna, around 8 mm in length",2,,,,
6/24/19,PU,1C,F,beetle ?,1,6,0,yellow translucent body and legs with black eyes,less than 1mm in length,2,,,,
6/24/19,PU,1C,F,fly?,1,6,2,,,,,flower fly,,
6/24/19,PU,2C,G,fly,3,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,,
6/24/19,PU,2C,G,centipede,1,a lot,0,"white body, with very thin gold lines on its body, yellowish legs ",worm like textured skin,1,,,,
6/24/19,PU,2C,F,ant,6,6,0,"dark brown body, light brown legs, black eyes","light brown antenna that looks beaded , lines going across third section",3,see line 247,,,
6/24/19,PU,2C,F,fly,8,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,,
6/24/19,PU,2C,F,flower fly,1,,,,,,,flower fly,,
6/24/19,PU,2C,F,fly,13,6,2,"black head and body, yellow and black legs","translucent wings, black fly eyes, around 1-3mm in length",3,,,,
6/24/19,PU,2C,G,insect,1,6,2,"light green all over, darker green at the end of the tail","grey fly eyes (30%), translucent wings, long grass like legs, around 4-5mm in length",3,,,PU_2C_F_greenguy.jpg,
6/24/19,PU,2C,F,beetle thing,1,6,2,"shiny dark brown (almost black), lighter brown antennae and legs","the back is textured like it's been pricked with a needle, fairly long antennae, i think it has chunky legs",2,,,,
6/24/19,PU,2C,F,fly?,1,6?,2,"lime green booty, light green wings, brown head, black eyes",,3,,,PU_2C_F_greengal.jpg,
6/24/19,PU,2C,G,beetle,1,6,0,"red translucent body with 4 black dots on its body, red translucent legs/ antenna that beaded",around 1mm in length,1,,,,
6/24/19,PU,3C,F,ant,2,6,0,"golden brown head, body and legs","long antennae coming off the front of its face, around 2-3mm in size, ",3,,,,
6/24/19,PU,3C,F,fly,3,6,2,"black head and body, black legs","translucent wings, long black beady antennae, around 1-2mm in length ** have seen this fly before",3,,,,
6/24/19,PU,3C,F,fly,1,6,0,"black head and body, black and yellow legs","round circular tail, around 1-2mm in length",3,,,,
6/24/19,PU,3C,F,fly,1,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,,
6/24/19,PU,3C,F,fly,1,6,2,"black head, lighter black body, black tail, black legs","translucent wings, brown fly eyes (75%), small black  hair follicles across the body, ",3,,,pu_3F_fly2,
6/24/19,PU,3C,F,fly,7,6,2,"black head and body, yellow and black legs","translucent wings, black fly eyes, around 1-3mm in length",3,,,pu_3F_fly,
6/24/19,PU,3C,F,fly ,1,6,2,"black and brown splotchy body, brown legs","grey wings, black hair follicles coming off the body, 1cm in size",3,,,pu_3F_fly3,
6/24/19,PU,3C,F,fly,1,6,2,"black head, body and tail, black legs with brown ends","long black beady antennnae coming off the middle portion of its face, balck fly eyes (60%) coming out of the side of its face, translucent wings, beady lower part of the legs, around 6-7mm in length",3,,,pu_3F_beetle,
6/24/19,PU,3C,G,fly,4,6,2,"black third section of body with a black and yellow mid section and a balck head, black legs","around 2mm in length, black antenna ",3,,,,
6/24/19,PU,3C,G,flower fly,3,,,,,,,flower fly,,
6/24/19,PU,3C,G,fly (same as line 212),15,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,,
6/24/19,PU,3C,G,beetle,2,6,2,"dark brown/ black body, head and legs","around 1mm in length, smooth shinny skin, tiny lines going down its back",3,,,,
6/24/19,PU,3C,G,fly,3,6,2,"grey mid section, black lower body, legs and head, legs have a hint of grey ","around 4mm in length,mid seciton is scaly looking, hairy, eyes take up most of head",,,,,
6/24/19,PU,3C,P,black milipede,1,,,,,,,milipede,,
6/24/19,PU,3C,P,white milipede,1,,,,,,,milipede,,
6/24/19,PU,3C,F,fly,2,6,2,"black head and body, black legs","translucent wings, cone like tail, around 6mm in size (cant quite tell features as the body is damaged)",3,,,,
6/24/19,PU,4C,P,spider,1,8,0,"white legs, white body","legs have small black hair follicles coming off of them, pedipalps are translucent white, body is around 4mm in size wheras the whole thing is around 1cm in size",3,,,,
6/24/19,PU,4C,G,fly,1,6,2,"black head and body, yellow and black legs","translucent wings, black fly eyes, around 1-3mm in length",3,,,,
6/24/19,PU,4C,G,fly,3,6,2,"black body, head and legs","grey fly eyes, translucent wings, long and skinny insect, around 2-3mm in size",3,,,pu_4G_fly,
6/24/19,PU,4C,G,beetle,2,6,2,"black head, body and legs","long black beady antennae, around 2-3mm iin length, grey translucent wings that lie vertically along its back",3,,,pu_4G_beetle,
6/24/19,PU,4C,G,fly,3,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,,
6/24/19,PU,4C, G,fly,15,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,pu_4G_fly3,
6/24/19,PU,4C,G,fly,1,6,2-4?,"black head and body, white legs","brown wings (skinny and long with brick like patterns) some yellow spots on the head, around 4mm in size",3,,,pu_4G_fly2,
6/24/19,PU,4C,G,insect,1,6,2,"light green all over, darker green at the end of the tail","grey fly eyes (30%), translucent wings, long grass like legs, around 4-5mm in length",3,,,pu_4G_greeninsect,
6/24/19,PU,4C,G,insect,1,6,0,"black head and body, golden brown legs","small head (ant like), big buldgey round tail, around 3mm in size",3,,,pu_4G_insect,
6/24/19,PU,4C,F,fly,7,6,2,"black iridescent, vaguely blue around the thorax, clear wings",~1mm,3,,,PU_1C_G_shinyfly_line280.JPG,
6/24/19,PU,4C,F,flower fly ,6,,,,,,,flower fly,,
6/24/19,PU,4C,F,fly,2,6,2,"grey mid section, black lower body, legs and head, legs have a hint of grey ","around 4mm in length,mid seciton is scaly looking, hairy, eyes take up most of head",,,,,
6/24/19,PU,4C,F,beetle,1,6,2,"a grey-ish brown, light brown legs, black underside","a pretty flat dude, body is ~4x the size of the head",2,,,PU_4C_F_line294_flatbeetle.jpg,
6/24/19,PU,4C,F,fly,1,6,2,"black head and thorax, black and yellowish-beige striped abdomen","abdomen comes to a point, very long legs, especially the back legs, wings are *barely* visible",3,,,PU_4C_F_line299.JPG,
6/24/19,PU,5C,G,lady bug,1,6,2,"red body and head with large black spots on its back and head, black legs","has 14 spots in total, around 4mm in length",2,,,,
6/24/19,PU,5C,G,fly1 (smae a in line 212),24,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,,
6/24/19,PU,5C,G,beetle?,2,6?,2,"very light pale green body/head with white wings and light green legs, brown eyes ","around 2mm in length, triangular head, paper like skin, legs are shinny ",2,,,,
6/24/19,PU,5C,G,fly 2,1,6,2,"dark blue metallic body with black tip at the end of the body, white wings, yellow head and legs","there are yellow lines going across its body, around 2mm in length",2,,,,
6/24/19,PU,5C,G,fly 3,1,6,2,"mixture of grey and white body , brown eyes, light brown wings, tan colored legs","around 5mm in length, long black hairs",3,,,,
6/24/19,PU,5C,G,flower fly,2,,,,,,,flower fly,,
6/24/19,PU,5C,P ,ant,1,6,0,"brown head, body and legs",long antennae coming off the front of its face,3,,,,
6/24/19,PU,5C,P,beetle,1,6,2,"brown head, body and legs",brown wings that lie vertically along its back,3,,flour beetle/confused flour beetle,pu_5P_flourbeetle,
6/24/19,PU,5C,F,flower fly,10,,,,,,,,,
6/24/19,PU,5C,F,beetle,1,6,2,"green tail, black head, green and yellow legs",around 2-3mm in size (hard to identify bc bdy is pretty broken up) ,3,,,,
6/24/19,PU,5C,F,fly,1,6,2,"black all over, ","big brown fly eyes (80%), two small black masses cming off teh front of its face, translucent wings, black hair follicles",3,,,,
6/24/19,PU,5C,F,fly,3,6,2,"black head and body, yellow and black stripped tail, brown legs","translucent wings, around 2-3mm in size, big brown fly eyes (70%)",3,,,,
6/24/19,PU,5C,F,fly,2,6,2,"black head, blue, yellow and black splotchy body, yellow and black stripped tail, yellow legs","translucent wings, arund 4-5mm in size, black fly eyes (70%) ",3,,,pu_5F_smallyellowandblackfly,
6/24/19,PU,5C,F,the grey fly,11,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,pu_5F_thegreyfly,
6/24/19,PU,5C,F,spotted lady beetle,1,6,2,"red with black spots on the body, red with black spots on the wings, black tail","aorund 8mm in length, wings lie vertically along its back",3,,spotted lady beetle,pu_5F_spottedladybeetle,
6/24/19,PU,5C,F,fly,1,6,2,"black head and body, yellow and black legs","translucent wings, around 3-4mm in length, ",3,,,pu_5F_smallfly2,
6/24/19,PU,5C,F,ant,1,6,0,"brown head and body, golden legs","brown hairy antennae that come off teh side of its face, around 3-4mm in length",3,,,pu_5F_brownant,
6/24/19,PU,6C,G,fly,2,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,,
6/24/19,PU,6C,G,beetle,1,6,2,"very dark brown with a lighter brown abdomen, clear wings","1cm long, abdomen textured with horizontal lines",3,,,PU_6C_G_line215.jpg,
6/24/19,PU,6C,F,flower fly,3,,,,,flower fly,,flower fly,,
6/24/19,PU,6C,F, fly 1 (same fly as in line 213),9,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,,
6/24/19,PU,6C,G,fly,4,6,2,"black, clear wings, faint yellowish stripes on legs","very small, maybe 1mm long",3,,,kerr_lil_fly.jpg,
6/24/19,PU,6C,G,fly,1,6,2,"small yellow stripes on abdomen, black everywhere else","it has a very fat body, kinda oval shaped, 3-4mm long",3,,,PU_6C_G_fly_line221.jpg,
6/24/19,PU,6C,F,beetle,1,6,2,"cmopletely black with a little bit of a golden tint on its head,","smooth outer layer, has thick back legs, has a two lines on its back that are in the shape of a cross, around 4mm in length",2,,,,
6/24/19,PU,6C,G,fly,2,6,2,"black, white legs, clear wings","long abdomen, 1mm long, beaded antennae, hunched over thorax",3,,,kerr_fly_longbottom.jpg,
6/24/19,PU,6C,G,fly,1,6,2,"black body and head, brown/yellow legs, ","translucent wings, long black beady antennae, circular head, around 1-2mm in size",3,,,,
6/24/19,PU,6C,G,insect,2,6,?,"black, lighter brown legs","heart shaped face, very small, see line 121",3 segments,,,,
6/24/19,PU,6C,G,fly? ant?,1,6,???,black with brown legs,"bulbous thorax, swollen leg joints, kind of hunched over",3,,,PU_6C_G_line230.jpg,
6/24/19,PU,6C,G,fly,1,6,2,black all over,"hairs on the thorax, eyes kinda the same color as the head, head same width as thorax",3,,PU_6C_G_line240_ARealFlyGuy.jpg,,
6/24/19,PU,6C,G,fly,3,6,2,"black, clear wings, faint yellowish stripes on legs","very small, maybe 1mm long",3,,,kerr_lil_fly.jpg,
6/24/19,PU,6C,G,fly,1,6,2,"dark brown, almost black, brown legs","beaded antennae, >1mm",3,,,PU_6C_G_lessthan1mm_line245.JPG,
6/24/19,PU,6C,G,ant,6,6,0,"dark brown body, light brown legs, black eyes","light brown antenna that looks beaded , lines going across third section",3,,,kerr_antman.jpg,
6/24/19,PU,6C,G,fly,11,6,2,"black, light yellow stripes on legs, clear wings","long skinny abdomen, bulbous thorax, long legs, eyes take up most of the head",3,,,PU_6C_G_line248.jpg,
6/24/19,PU,6C,G,tick,2,,,,,,,deer tick (LYME DISEASE!) @katie,,
6/24/19,PU,6C,P,millipede,2,a lot ,0,"white legs and body, back has dark brown lines going across the body and brown dots on the side of the body, black eyes","around 6mm to 7mm in length, the brown lines on its back dont form a complete cirle around the body but there are faint brown ones that do",1,,,,
6/24/19,PU,7C,F,fly,5,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,,
6/24/19,PU,7C,F,fly,15,6,2,"black head and body, mostly black legs with yellow ends","black fly eyes (60%), translucent wings, around 2-3mm in size, buldgey body, lighter shade underbelly on the tail",3,,,,
6/24/19,PU,7C,F,fly (gnat),3,,,,,,,gnat,,
6/24/19,PU,7C,F,fly (flower fly),2,,,,,,,flower fly,,
6/24/19,PU,7C,F,fly,1,6,2,"black body and head, clear legs and wings","big grey fly eyes (80%), tail has horizantal lines going down the body, translucent wings, around 2-3mm in size",3,,,,
6/24/19,PU,7C,F,fly,1,6,2,"black head, blue scaley body, black legs","big black fly eyes (80%), 2 small bulging masses coming off the front of its face, translucent wings, around 3mm in length",3,,,,
6/24/19,PU,7C,F,fly,1,6,2,"black head, balck body, yellow and black legs","big dark brown fly eyes (80%), translucent wings, long legs,  round tail, around 3mm in length",3,,,,
6/24/19,PU,7C,F,beetle (spotted lady beetle),2,,,,,,,spotted lady beetle,,
6/24/19,PU,7C,F,fly,1,6,2,"black body and head, brown/yellow legs, ","translucent wings, long black beady antennae, circular head, around 1-2mm in size",3,,,,
6/24/19,PU,7C,F,beetle,1,6,2,"shiny blue/green metallic head and wings, brown legs","wings lie vertically along its back, beady brown antennae, wings has studs, around 2mm in length",2?,,shiny leaf beetle or golden tortoise beetle,,
6/24/19,PU,7C,F,beetle/cicada,1,6,2,"yellow head, black body, yellow legs","triangular shaped head (like a cicada), translucent wings, white hair folicles coming off the antennae, around 2-3mm in size",3,,,,
6/24/19,PU,7C,G,fly,30,6,2,"black head and body, black legs","translucent wings, brown fly eyes (75%), around 2mm in size",3,,,pu_7G_smallfly,
6/24/19,PU,7C,G,fly,4,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,pu_7G_greyfly,
6/24/19,PU,7C,G,flower fly,1,,,,,3,,flower fly,,
6/24/19,PU,7C,G,fly,1,6,2,"black head and body, black legs","translucent wings, long black beady antennae, around 1-2mm in length ** have seen this fly before",3,,,pu_7G_beetlewithbeadyantennae,
6/24/19,PU,7C,G,beetle,1,6,2,"golden brown head, body and legs","wings lie vertically along its back, has studs along the wings, small black fly eyes (30%), around 1-2mm in size",3,,,pu_7G_goldenbeetle,
6/24/19,PU,7C,G,beetle/cicada?,1,6,2,"grey/green head, black body, yellow legs","yellow translucent wings, smooth triangular head (like a cicada?), pointed tail, around 3-4mm in length",3,,,pu_7G_beetle/cicada?,
6/24/19,PU,7C,P,millipede,1,a lot,0,"bright white body, yellow tinted legs, reddish brown eyes","has small brown dots along both sides of the body, small faint lines going across the body, around 2mm in length",1,,,,
6/24/19,PU,7C,P,beetle,1,6,2,"lighter brown third section and dark brown/ black mid section and head, light brown legs","stripes going down its third section, thick thighs, long brown antenna, two small pinchers, glossy smooth looking skin, around 5mm in length",3,,,,
6/24/19,PU,8C,P,beetle,3,6,2,"lighter brown third section and dark brown/ black mid section and head, light brown legs","stripes going down its third section, thick thighs, long brown antenna, two small pinchers, glossy smooth looking skin, around 5mm in length",3,,,,
7/1/19,PU,7C,G,spotted lady beetle,6,,,,,,,spotted lady beetle,,
7/1/19,PU,7C,G,flower fly,17,,,,,,,flower fly,,
7/1/19,PU,7C,G,cellar spirder,1,,,,,,,cellar spider,,
7/1/19,PU,7C,G,fly,64,6,2,"shiny black, yellow stripes on legs, clear wings, black eyes",1-2mm,3,,,PU_7C_G_yellowlegs.jpg,
7/1/19,PU,7C,G,ant,1,6,0,"light brown (almost orangey), 2 distinctly black eyes,",small antennae made up of beads,3 segments,,,,
7/1/19,PU,7C,G,cicada/beetle?,2,6,2,"primarily black with milky white covering on prominent yellow triangle descending posteriorly from thorax onto lumbar segment, milky white wings","cylindrical body with lateral wing attachments, ice-cream on cone shaped head, 2-3mm",1?,,,pu-6-17-1c-G-cicada,
7/1/19,PU,7C,G,grey fly,11,,,,,,,grey fly,,
7/1/19,PU,7C,G,insect,5,6,2,"light green, white iridescent wings, orange antennae","triangular shaped head, two long antennae coming off point of the head, 2 small eyes towards front of head, 3-4mm",2,,,PU_7C_G_greeninsect.jpg,
7/1/19,PU,7C,G,fly,5,6,2,matte black,"2mm, long abdomen, brown legs, bulbous thorax, horizontal ridges on abdomen",3,,,PU_7C_G_line324.jpg,
7/1/19,PU,7C,G,beetle,1,6,2,shiny brown,"little pin pricks on its back, we've def seen this guy before",2,,,PU_7C_G_shinybrown.jpg,
7/1/19,PU,7C,G,fly,2,6,2,shiny black (almost green??),"very round body segments, 0.5cm, faint stripes on abdomen",3,,,PU_7C_G_line327.jpg,
7/1/19,PU,3C,F,lady bug,9,6,2,"red body and head with large black spots on its back and head, black legs","has 14 spots in total, around 4mm in length",2,,,,
7/1/19,PU,3C,F,fly,1,4?,2,"black body/ head, body has a few yellow marking on it, thighs black, rest of legs yellow","eyes take up most of head, clear wings, small white hairs only on back around 10mm in length, has a hunched back",2,,,,
7/1/19,PU,7C,G,beetle,1,6,2,"matte brown, dirt colored","vertical ridges on abdomen, thick black antennae, thick reddish brown legs, 3-4mm",2,,,PU_7C_G_line330.jpg,
7/1/19,PU,7C,F,fly,1,6,2,"black body, head and tail, yellow legs","black fly eyes (70%) on the side of its face, yellow antennae, around 2-4mm in length",3,,,,
7/1/19,PU,7C,F,beetle,2,6,2,"green/grey splotchy all over, green legs with red tips","translucent wings, green/grey eyes fly eyes (40%), cyclindical in shape, tail is long and skinny, around 3-4mm in length",3,,,pu-7-1-7F-beetle2,
7/1/19,PU,7C,G,beetle,1,6,2,"shiny blue/green metallic head and wings, brown legs","wings lie vertically along its back, beady brown antennae, wings has studs, around 2mm in length",2?,,shiny leaf beetle or golden tortoise beetle,,
7/1/19,PU,3C,F,fly,1,6,2,"shiny black, yellow stripes on legs, clear wings, black eyes",1-2mm,3,,,,
7/1/19,PU,3C,F,tic? or beetle,1,6,0,"brownish red body, head and legs","legs are somewhat translucent, very round body, around 1-2mm in length",2,,,,
7/1/19,PU,6C,F,spotted lady beetle,5,,,,,,,spotted lady beetle,,
7/1/19,PU,7C,F,fly,1,6,2,"black head, black body, yellow and black tail, majority black legs with a little bit of yellow at the end","big red fly eyes (80%), 2 small massess coming off the front of its head with small hair like follicles coming off of that, wings are translucent with a litte bit of brown spots, has a stinger, around 6-7mm in size",3,,,pu-7-1-7F-fly5,
7/1/19,PU,6C,F,flower fly,6,,,,,,,flower fly,,
7/1/19,PU,6C,F,moth,1,6,2,"black body with white fuzz, orange and brown upper wing, brown and white lower wing",spots on edges of wing,,,,PU_6C_F_mooth.jpg,
7/1/19,PU,7C,F,fly,1,6,2,"black head, body and tail, yellow and black legs","small beady antennae, brown long slim eyes (50%), yellow translucent wings, at the end of the legs are beads, around 6-7mm in length",3,,,pu-7-1-7F-fly4,
7/1/19,PU,6C,F,fly,1,6,4,"black, 3 or 4 thick yellow stripes on abdomen (bright yellow)","fuzz on thorax, translucent black wings, over 1 cm",3,,,PU_6C_F_yellowstripe.jpg,
7/1/19,PU,3C,F,insect,1,6,0,"yellowish green translucent body, head and legs ",around 2-3mm in length,2,,,,
7/1/19,PU,6C,F,insect,1,6,2,"light green, white iridescent wings, orange antennae","triangular shaped head, two long antennae coming off point of the head, 2 small eyes towards front of head, 3-4mm",2,,,PU_7C_G_greeninsect.jpg,
7/1/19,PU,6C,F,beetle/cicada?,1,6,2,"grey/green head, black body, yellow legs","yellow translucent wings, smooth triangular head (like a cicada?), pointed tail, around 3-4mm in length",3,,,pu_7G_beetle/cicada?,
7/1/19,PU,7C,F,little black fly (same as line 319),4,6,2,"shiny black, yellow stripes on legs, clear wings, black eyes",1-2mm,3,,,pu-7-1-7F-fly3,
7/1/19,PU,2C,G,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/1/19,PU,2C,G,little black fly (see line 319),16,,,,,,,little black fly (see like 319),,
7/1/19,PU,8C,G,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/1/19,PU,7C,F,orange larva,1,6,2,bright orange all over,"black eyes, less than 1mm in length",3,,,pu-7-1-7F-larva1,
7/1/19,PU,7C,F,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/1/19,PU,8C,G,flower fly,2,,,,,,,flower fly,,
7/1/19,PU,8C,G,little black fly (see line 319),25,,,,,,,little black fly (see line 319),,
7/1/19,PU,8C,G,insect,1,6,2,"yellow translucent body with a little bit of a greenish tint,  bright orange antenna, green eyes ","around 4mm in length, antenna longer than body, ",2,,,,
7/1/19,PU,7C,F,flower fly,2,,,,,,,flower fly,,
6/24/19,PU,2C,G,ant,12,6,0,"dark brown body, light brown legs, black eyes","light brown antenna that looks beaded , lines going across third section",3,,,kerr_antman.jpg,
7/1/19,PU,7C,F,beetle/cicada?,3,6,2,"green and yellow splotchy head, black/grey tail and body, yellow clear legs","round triangular head, translucent wings, has fly eyes on the side of head (grey), around 2-3mm in size",3,,,pu-7-1-7F-beetle3,
7/1/19,PU,8C,G,classic black fly,3,,,,,,,classic black fly,,
7/1/19,PU,2C,G,classic black fly,4,,,,,,,classic black fly,,
7/1/19,PU,7C,F,gnat,2,,,,,,,gnat,,
7/1/19,PU,7C,F,fly,1,6,2,"black all over, legs are predominately black with brown ends","big dark red fly eyes (80%), translucent wings, legs have beady lower parts, small white hairs all over the body, around 5mm in length",3,,,pu-7-1-7F-fly6,
7/1/19,PU,1C,F,spotted lady beetle,1,,,,,,,spotted lady beetle,,
7/1/19,PU,1C,F,classic black fly,1,,,,,,,classic black fly,,
7/1/19,PU,1C,F,little black fly,2,,,,,,,little black fly,,
7/1/19,PU,6C,G,beetle,2,6,2,dark brown but slightly holographic,"1cm long, projecting round brown eyes on side of head, tiny little pricks on abdomen, long legs",3,,,PU_6C_G_holographic.jpg,
7/1/19,PU,7C,F,fly,1,6,2,"black metallic head, body, tail, brown and yellow legs","black hair follicles, translucent white and brown wings, fly eyes (75%), around 5-7mm in size",3,,,pu-7-1-7F-fly2,
7/1/19,PU,8C,G,fly,1,6,2,"all black body, head and legs, red large eyes, ","long thick black hairs, hair third segment and scaly middle section, eyes take up most of head, around 7-8mm in length ",3,,,,
7/1/19,PU,2C,F,fly,1,6,2,"yellow/black legs, black metallic body and head, large eyes that are somewhat red","thick smooth rounder segments, smooth shinny skin, short antenna, eyes take up most of head, around 3-4mm ",3,,,,
7/1/19,PU,6C,G,flower fly,52,,,,,,,flower fly,,
7/1/19,PU,7C,F,fly,1,6,2,"black all over, black legs with brown tips","translucent wings, black eyes (80%), black antennae,  white hair follicles all over body, aournd 8mm in length",3,,,pu-7-1-7F-fly1,
7/1/19,PU,4C,G,little black fly ,71,,,,,,,,,
7/1/19,PU,4C,G,fly,23,6,2,"black all over, yellow legs","very long back legs (thigh portion is thick and black), small fly eyes on the side of its head (40%), white spots on its back/wings, arouund 2-3mm in length",3,,,pu-7-1-4G-fly8,
7/1/19,PU,6C,G,classic black fly,14,,,,,,,classic black fly,,
7/1/19,PU,4C,G,flower fly,11,,,,,,,flower fly,,
7/1/19,PU,6C,G,little black fly,60,,,,,,,little black fly,,
7/1/19,PU,2C,F,fly,1,6,2,"black head black back and yellow underbelly, yellow translucent legs, yellowish tinted wings","around 2mm in length, interior of the fly is also yellow",3,,,,
7/1/19,PU,6C,G,insect,2,6,4,"white, lime green around joints","1-2mm, black striped eye",3,,,IMG_2191.jpg,
7/1/19,PU,4C,G,the classic grey fly,13,,,,,,,,pu-7-1-4G-fly7,
7/1/19,PU,2C,F,beetle,1,6,0,"looks like a round black dot, reddish translucent legs","tip of the back of the body is translucent red, around 1mm in length",1,,,,
7/1/19,PU,2C,F,insect,1,6,0,"yellowish green translucent body, head and legs ",around 2-3mm in length,2,,,,
7/1/19,PU,4C,G,fly,6,6,2,"orange/yellow head, black bdoy with yellow underbelly, black tail","red fly eyes (70%), translucent wings, beady lower part of the legs, around 4mm in size",3,,,pu-7-1-4G-fly6,
7/1/19,PU,6C,G,cricket?,1,6,2,"dark brown with some light brown stripes and splotches, light brown legs","very small wings, spines and hairs on legs, long antennae with ball at the base, 2 tail-like things, hairs all over body, 1cm long",3,,,IMG_2192.jpg,
7/1/19,PU,4C,G,fly,8,6,2,"black all over, black upper half of legs and then slowly turns ligher at the bottom portion of the legs","long and skinny tail, long black antennae, small head with a buldgey body, very long legs (especially its back legs)",3,,,pu-7-1-4G-fly1,
7/1/19,PU,4C,G,beetle/cicada?,2,6,2,"balck with white spots on head, black body, yellow legs","white and brown wings (with a pattern), grey fly eyes (40%), head is round and triangular in shape, around 2-3mm in size",3,,,pu-7-1-4G-beetle4,
7/1/19,PU,5C,F,spotted lady beetle,11,,,,,,,spotted lady beetle,,
7/1/19,PU,5C,F,flower fly,19,,,,,,,flower fly,,
7/1/19,PU,1C,G,spotted lady beetle,3,,,,,,,spotted lady beetle,,
7/1/19,PU,5C,F,beetle/cicada?,2,6,2,"green and yellow splotchy head, black/grey tail and body, yellow clear legs","round triangular head, translucent wings, has fly eyes on the side of head (grey), around 2-3mm in size",3,,,,
7/1/19,PU,1C,G,classic black fly,2,,,,,,,classic black fly,,
7/1/19,PU,8C,F,spotted lady beetle,3,,,,,,,spotted lady beetle,,
7/1/19,PU,4C,G,gnat,3,,,,,,,gnat,,
7/1/19,PU,8C,F,flower fly,3,,,,,,,flower fly,,
7/1/19,PU,4C,G,fly,1,6,2,"black head, black body with yellow underbelly, black tail, yellow legs","big red fly eyes (70%), around 2-3mm in length, translucent wings",3,,,pu-7-1-4G-fly5,
