Date,"Sensor Number (1 = Tomato, 2 = Zuccuni)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,Species? ,pic_id
6/21/19,2,G,fly,1,6,2,"shiny black head and thorax, dull red eyes, prominent, bright yellow pattern on head and thorax, translucent wings with rainbow irridescence",most prominent feature is a pair of bright yellow stripes running vertically down head onto thoracic region and coming together in a u-shape at the inferior dorsal aspect of the thoracic rsegment. Eyes protrude from lateral aspects of head.,3,,,oo-6-21-z-G-fly16
6/21/19,2,G,fly,2,6,2,"shiny black, deep red-black eyes, yellow translucent legs, rainbow irridescent wings","most prominent features are two head-length antannae projecting from the anterior surface of the head and a triangular projection from the thoracic region above the lumbar region. Front set of legs emerge from just below the joint between the head and thoracic region, and latter two sets of legs connect to the posterior of the thorax. Posterior legs are substantially longer than front pair of legs",3,,,oo-6-21-z-G-fly17
6/21/19,2,G,ant,2,6,0,"head black, thorax dark maroon, lumbar dark maroon to black superior to inferior.","head teardrop shaped, thorax smoothly spherical, superior lumbar region appearing similar to beetle thorax with armored sections and then transitioning to a set of nested tail segments, broad and flat, tapering to a soft point.",3,,,oo-6-21-z-G-ant3
6/21/19,2,G,beetle,1,6,0?,shiny black,thorax smooth and slightly hunched. Lumbar covered in irregular divots,3,,,oo-6-21-z-G-beetle5
6/21/19,2,G,fly,1,6,2,"black head and thorax, with yellow band protruding laterally about thorax, legs 1st segment black then become yellow, lumbar mostly blac, antannae segments gradient yellow to black, eyes red","head cylindrical against thorax. body-length antannae, thorax exhibits two lateral dorsal bulges, wings especially large but not extremely so",3,,,oo-6-21-z-G-fly18
6/21/19,2,G,fly,5,6,2,"shiny black head, thorax, and lumbar segment, brown-red eyes, legs 1st segment black then latter segments yellow, wings dingy white","two small round protrusions from front of face, head cylindrical and wrapped slightly around superior thorax, thorax disc-shaped, lumbar also flat and disc-chaped (looking down from above) with white lateral trim",3,,,oo-6-21-z-G-fly19
6/21/19,2,G,cicada?,1,6,2?,"yellow, with black joints","long, ventrally concave cylindrical body with stubby head. Legs emerge from superior thorax. Belly exhibits yellow transverse segments broken by black joints. Legs exhibit tiny sparse black spikes",3?,,,oo-6-21-z-G-cicada
6/21/19,2,G,beetle,1,4,2,"black head, thorax and wing covers with milky white wing ends protruding inferiorly. White eyes. Legs begin black and become yellow","egg-shaped body with flat, cylindrical head exhibiting bulging white eyes laterally, standrd shoulder-armor thorax, wing covers leathery with white tufts of hair and terminating with milky white, thick wings. ONLY 4 legs, posterior pari has thicccccc thighs",3,,,oo-6-21-z-G-beetle6
6/21/19,2,G,spider,1,8,0,dark brown-black body with dark brown legs that become lighter brown/yellow laterally,"relatively flat, long body segment with long legs. This specimen was decapitated",2?,,,oo-6-21-z-G-spider2
6/21/19,2,G,katydid,1,6,2,primarily black with yellow at the edges of exoskeleton plating and joints between segements. Legs yellow and wings milky white. Inferior section segmented with black stripe down middle and yellow on edges,Long cucumber-shaped body with stubby head. Eyes lateral. ,3?,,,oo-6-21-z-G-katydid3
6/21/19,2,G,spider,1,8,0,"body (meat) and legs translucent brown, but body covered in thick white hair. Eyes black","VERY HAIRY (short hair) on both body segments. Primary body segment thick and car-cab shaped. Tow teeny tiny eyes on lateral dorsal aspect of primary body segment. Inferior body segment thin cucumber-shaped, attached with a 1/8 overlap on the primary segment. Extra hair in two tufts on front of face, almost looking like hair-fangs",2,,,oo-6-21-z-G-spider3
6/21/19,2,G,ant,1,6,2,"black body, brown antannae and legs","flat pancake-like head slightly curled around thorax, spherical thorax, cucumber-shaped flat-ish lumber segment. Long antannae slightly indented at segments",3,,,oo-6-21-z-G-fly20
6/28/19,1,G,fly,1,6,2,"grey/brown head and body, brown legs","long black antennae, grey/brown wings, around 2-4mm in length, head is a little brighter compared to the rest of the body",3,,,oo-6-28-1G-fly1
6/28/19,1,F,flower fly,4,,,,,,,flower fly,
6/28/19,1,G,beetle,2,6,2,"black head, brown body with black spots, brrown and black spotty tail, brown legs","body has a translucent outer layer, wings lie vertically along its back, brown beady antennae, around 5mm in length",3,,,oo-6-28-1G-beetle1
6/28/19,1,F,fly,1,6,2,"light neon translucent green/ yellow, green legs, clear wings, yellow head, brownish red eyes","less than 1mm in length, back legs are longer than the others, wings are sparkly and have a rainbow tint when they catch the light, yellow hairs on legs",2,,,
6/28/19,1,G,flower fly,16,,,,,,,flower fly,
6/28/19,1,G,fly,1,6,2,"black head, brown body, white clear legs","white beady antennae, translucent hairy wings, around 1mm in size",3,,,oo-6-28-1G-fly8
6/28/19,1,F,beetle,1,6,2,"green wings with yellow lines and a yellow outline of the wings, black body underneath the wings, yellow translucent legs, yellow head, black eyes","around three to four mm in length, triangle shaped head, tiny yellow hairs on legs, smooth looking wings",3,,,
6/28/19,1,G,fly,1,6,2,"black head, black body, grey and black splotchy tail, yellow legs","small antennae coming off of the front of its face, black fly eyse (70%) at the side of its face, translucent wings, around 2-3mm in length",3,,,oo-6-28-1G-fly2
6/28/19,1,G,fly,1,6,2,"yellow head, blue metallic/shiny body, yellow legs","translucent wings, black small antennae coming off the side of its head, around 5mm in length",3,,,
6/28/19,1,F,fly,2,6,2,all black including the lines that outline the wings,"around 6-7mm in length, two short black antenna, third segment has rings going around the body and the mid segment looks scaly, long legs that are broken up into 3 joints",3,,,
6/28/19,1,G,beetle,1,6,2,"translucent bright green all over, lighter green legs","black fly eyes (40%) at the side of its head, cone shaped head, around 1-2mm in length",3,,,oo-6-28-1G-beetle4
6/28/19,1,F,beetle,1,6,2,"light brown body with four large dark brownish red spots, light brown legs and head","two of the spots are on the middle of the wings and then two smaller ones that are near the top of the wings, the wing exterior has small look water droplet beads in a line going down the wings, less than 1mm in length",2,,,
6/28/19,1,F,gnat,10,6,2,black with translucent light brown legs transparent wings,"small head with long antannae, spherical hunchbacked thorax, relatively long stretched egg-shaped lumbar, relatively very long legs",3,,,
6/28/19,1,G,ant,1,6,0,biege all over,"small eyes at the side of its head, around 1-2mm in length",3,,,oo-6-28-1G-ant1
6/28/19,1,G,fly,1,6,2,"brown body, black head, grey legs","translucent wings, grey beady antennae, buldgey body, 1mm in size",3,,,oo-6-28-1G-fly3
6/28/19,1,G,fly,2,6,2,"golden body and tail, yellow legs, ","big red fly eyes (88%), brown hair folicles, 1-3mm in size",3,,,oo-6-28-1G-fly14
6/28/19,1,F,larva,1,6,0,"yellow translucent body, clear legs/ antenna with a yellowish tint, black eyes",extremely small,3,,,
6/28/19,1,G,fly/beetle,3,6,2,black all over,"yellow translucent wings, round triangular face, grey fly eyes (40%), cone tail, around 1-3mm in size",3,,,oo-6-28-1G-fly/beetle
6/28/19,1,G,beetle/cicada,1,6,2,"beige and black splotchy head, body and tail, legs are translucent pale yellow","small black and yellow splotchy antennae, translucent wings that wrap around the body, around 2-3mm in size",3,,,oo-6-28-1G-cicada/beetle?
6/28/19,1,G,,,,,,,,,,
6/28/19,2,F,beetle,1,6,2,"green wings with yellow lines and a yellow outline of the wings, black body underneath the wings, yellow translucent legs, yellow head, black eyes","around three to four mm in length, triangle shaped head, tiny yellow hairs on legs, smooth looking wings",3,,,
6/28/19,1,G,fly,16,6,2,"black all over, yellow legs with brown joints","brown fly eyes (40%), black small masses coming off the front of its face, translucent wings, around 1-2mm in size",3,,,oo-6-28-1G-fly4
6/28/19,2,F,cricket,1,6,0,"light green head and body with a long thick light brownish orange strip going down the middle of its back (strip extends to top of head), four front legs are yellow, back legs are green with a dark brown strip going down the middle of the leg","very long back legs that have thick thighs, sparkly looking skin, two dark brown spots toward the middle upper portion of the back",2,,,
6/28/19,2,P,beetle,1,6,2,"dark brown with light brown to white insides, slightly lighter legs than body","~1.5cm long, vertical ridges on abdomen, small hairs on legs, head and thorax appear to be flush, eyes on sides of head",3,,,OO_2P_line176_beetle.jpg
6/28/19,1,G,beetle,1,6,2,"golden brown head, body and tail, golden legs","black eyes on front side of head, lower part of legs are beady, golden brown wings that lie vertically along its back with studs all over. ",3,,,oo-6-28-1G-beetle2
6/28/19,2,P,beetle,1,6,2 maybe? none super visible,"dark brown or black, same color legs, brown underside","~2cm long, beaded antennae, head tapers to a point with almost 2 little horns on the ""nose"", spines on legs",3,,,OO_2P_line178_beetle.jpg
6/28/19,1,G,ant,1,6,0,"black all over, black legs with yellow joints","small balck antennae coming off the front of its face, around 1mm in size, ",3,,,oo-6-28-1G-ant2
6/28/19,1,G,spotted lady beetle,2,,,,,,,spotted lady beetle,oo-6-28-1G-spottedladybeetle
6/28/19,1,G,fly,1,6,2,"grey/beige head, brown and black splotchy body, black tail, beige legs","brown fly eyes (70%), translucent wings, yellow hair follicles coming off the body, light clear abdomen",3,,,oo-6-28-1G-fly5
6/28/19,2,F,gnat,7,6,2,black with translucent light brown legs transparent wings,"small head with long antannae, spherical hunchbacked thorax, relatively long stretched egg-shaped lumbar, relatively very long legs",3,,,
6/28/19,2,F,fly ,4,6,2,"bright yellow legs,back legs have a black strip on them, black body and head","around 3mm in length, very long black antenna with two yellow marks, small yellow dots on its back",3,,,
6/28/19,1,G,mosquito/fly,1,6,2,"grey head and boyd, yellow legs with black joints, ","very long stinger/antennae (black), red fly eyes (30%), tranlucent wings, body is buldgey, around 2mm in length",3,,,oo-6-28-1G-fly9
6/28/19,2,F,beetle,1,6,2?,"all black, body is somewhat metallic looking, black eyes","very shinny smooth skin,around 2mm in length, no antenna, two small pincher looking things, very thin legs",3,,,
6/28/19,1,G,fly,1,6,2,"black head and boyd, tail starts off black but then turns brown in color, yellow legs","long grey beady antennae, translucent wings, around 1-3mm in size, head is small and round",3,,,oo-6-28-1G-fly10
6/28/19,1,G,fly,1,6,2,"balck all over, yellow legs","grey translucent wings, small yellow stinger at end of the tail, black masses coming off the front of its face with a hair follicle type structure coming off the mass, around 1-2mm in size",3,,,oo-6-28-1G-fly11
6/28/19,2,F,beetle,2,6,2,"light brown body with four large dark brownish red spots, light brown legs and head","two of the spots are on the middle of the wings and then two smaller ones that are near the top of the wings, the wing exterior has small look water droplet beads in a line going down the wings, less than 1mm in length",2,,,
6/28/19,1,G,larva,1,6,2,"grey/yellow/black splotchy all over, grey legs","small segmented grey antennae, body is split with horizantal segments that are black at eh differentt borders, less than 1mm in size",3,,,oo-6-28-1G-larva
6/28/19,1,G,fly,1,6,2,"black head, grey body, yellow upper tail with a black end, yellow translucent legs ","front legs are longer than the back legs, 2 gold masses coming off the top of its head, translucent wings",3,,,oo-6-28-1G-fly7
6/28/19,1,G,beetle,2,6,2,"black all over, black legs","long nose?/ face, (ant eater type of face), small black eyes coming off the side/top of its face, lower part of the legs are segmented,  wings are black and lie vertically along its back with studs all over, aorund 2-3mm",3,,,oo-6-28-1G-beetle2
6/28/19,1,G,cicada/beetle,1,6,2,"grey and black splotchy head and body, yellow legs","translucent splotchy wings, small hairs coming off the legs, round triangular face, black eyes on the top of its head, 2-3mm in length",3,,,oo-6-28-1G-beetle/cicada2
6/28/19,1,G,beetle,1,6,2,"light brown body with four large dark brownish red spots, light brown legs and head","two of the spots are on the middle of the wings and then two smaller ones that are near the top of the wings, the wing exterior has small look water droplet beads in a line going down the wings, less than 1mm in length",2,,,
6/28/19,1,G,fly (the classic black fly),1,6,2,balck all over,distinct ridges in its tail,3,,,oo-6-28-1G-fly8
6/28/19,1,G,centipede,2,a lot,0,"dark brown back with white/ grey body, white legs black eyes","around 2mm in length, shinny sparkly skin",1,,,
6/28/19,1,G,fly,2,6,2,"black head and body, dark yellow and black strippey tail, yellow legs","translucent wings, black fly eyes, (70%), 2-4mm in size, ",3,,,oo-6-28-1G-fly6
6/28/19,1,G,gnat,,6,2,black with translucent light brown legs transparent wings,"small head with long antannae, spherical hunchbacked thorax, relatively long stretched egg-shaped lumbar, relatively very long legs",3,,,
6/28/19,1,G,ant,5,6,0,"black head and body, brown and black splotchy legs","long segmented legs, around 4-5mm in length, brown antennae with strippes in the bottom portion of the antennae",3,,,oo-6-28-1G-ant3
6/28/19,1,G,fly,1,6,2,"black head and body, yellow/grey tail, grey legs","legs are long and only attached to the body with is small in size, 2 small segmeneted antennae, grey translucent wings, small black fly eyes, around 1-3mm in length",3,,,oo-6-28-1G-fly12
6/28/19,1,G,fly,1,6,2,"clear legs with a brownish tint on the lop of the legs, grey third section and head, black mid section, red eyes","around 2mm in length, skin is kind of wrinkly looking, extremely long legs and antenna ",3,,,
6/28/19,1,G,fly,1,6,2,"black and grey splotchy body, clear legs","big translucent wings, legs are long, antennae are small and grey, around 1mm in size",3,,,oo-6-28-1G-fly13
6/28/19,1,G,fly,1,6,2,"black head and body, yellow and black splotchy tail, yellow legs","samll balck antennae coming off the front of its face, translucent wings, black fly eyes on the side of its face, around 2-3mm in length",3,,,oo-6-28-1G-fly15
7/3/19,2,F,cucumber  beetle,3,,,,,,,cucumber beetle,
7/3/19,2,F,classic big black fly,6,,,,,,,,
7/3/19,2,F,fly,2,6,2,"black all over, black legs with grey joints","long grey antennae, translucent wings, around 1mm in length, shiny metallic shoulder blades",3,,,
7/3/19,2,F,fly,4,6,2,"black head, body, tail, yellow legs with grey flies","long segmented antennae, translucent wings, front 2 legs have thicker thighs, around 1mm in length",3,,,
7/3/19,2,F,beetle,2,6,2,black all over,"black antennae with the top being segmented, black legs with the bottom being segmented, black wings that lie vertically along its back, around 1-2mm",3,,,
7/3/19,2,F,fly,1,6,2,"black all over, black legs with yellow joints","translucent wings that lie vertically along its back, long black antennae, back has white spots along it, small head (triangular in shape), aroumnd 1-3mm in size",3,,,
7/3/19,2,F,fly,1,6,2,"black head, dark blue metallic body and tail, black legs","translucent wings, small hair follicles on leg and some ofn body, big dark red fly eyes (85%), white lines that go horizantally along the tail, around 1cm in size",3,,,
7/3/19,2,F,cicada/beetle,1,6,2,"yellow head, green body, black tail, wings are green, legs are yellow","2 small eyes on side of its head (30%), wings lie horizantally along its back, head is long and triangular, small yellow hairs at the  bottom of the legs, around 1cm in length",3,,,
7/3/19,1,F,classic big black fly,1,,,,,,,,
7/3/19,1,F,fly,1,6,2,head and body are splotchy black and brown,"head is triangular in shape, long brown splotchy antennae, translucent wings, 1mm in length",3,,,oo-7-3-1F-fly1
7/3/19,1,F,beetle,2,6,2,"black all over, legs are predominately and the tips are yellow","wings are black and lie vertically along its back, yellow antennae, around 1-2mm in length",3,,,oo-7-3-1F-beetle2
7/3/19,1,F,beetle/cicada,4,6,2,"yellow and black splotchy head, black tail","translucent wings, round triangular head, fly eyes are on side of the head, around 2mm in length",3,,,oo-7-3-1F-beetle/cicada
7/3/19,1,F,beetle,1,6,2,brown all over,"1mm in length, brown wings that lie vertically on its back",3,,,oo-7-3-1F-beetle1
7/3/19,1,F,fly (same as pu row 382),2,6,2,"black all over, black upper half of legs and then slowly turns ligher at the bottom portion of the legs","long and skinny tail, long black antennae, small head with a buldgey body, very long legs (especially its back legs)",3,,pu-7-1-4G-fly1,
7/3/19,1,F,fly,1,6,2,"brown with white spots all over, yellow legs","black fly eyes on the side of its head, wings are translucent with brown spots, head is round and triangular, around 2-3mm in length",3,,,oo-7-3-1F-beetle1
7/3/19,1,G,beetle/cicada (same as row 214),17,6,2,"yellow and black splotchy head, black tail","translucent wings, round triangular head, fly eyes are on side of the head, around 2mm in length",3,,,oo-7-3-1G-beetle/cicada
7/3/19,1,G,fly,1,6,2,"yellow head and body, darker yellow tail, yellow legs","long yellow antennae, translucent wings, red eyes (10%), around 1mm in length",3,,,oo-7-3-1G-fly9
7/3/19,1,G,beetle,3,6,2,"black all over, golden brown legs with brown thighs","golden beady antennae, black wings that lie vertically along its back",3,,,oo-7-3-1G-beetle5
7/3/19,1,G,gnat,3,,,,,,,gnat,
7/3/19,1,G,beetle,1,6,2,"black head, brown body and tail with white and yellow specs, brown legs","long nose that comes out of its face, around 2-3mm in length, wings lie vertically along its back",3,,,oo-7-3-1G-beetle4
7/3/19,1,G,ant,9,6,0,"dark brown all over, darker head","brown antennae, around 2-4mm in length",3,,,oo-7-3-1G-ant1
7/3/19,1,G,fly,1,6,2,"black head and tail, lighter shade on body, legs are grey with yellow joints","long beady antennae, translucent wings, less than 1mm in size",3,,,oo-7-3-1G-fly8
7/3/19,1,G,little black fly,8,6,2,,,,,,oo-7-3-1G-fly7
7/3/19,1,G,fly?,1,6,2,"black and brown splotchy head and body, tail has more black parts than brown, legs are yellow","back legs are very long, tail has distinct ridges, eyes are in the middle/side of its head (55%), around 3-4mm in length",3,,,oo-7-3-1G-fly6
7/3/19,1,G,beetle,3,6,2,"black all over, yellow legs","triangular head, small yellow antennae, red fly eyes that are on the side of its head (45%), around 1-2mm in length",3,,,oo-7-3-1G-fly5
7/3/19,1,G,classic big black fly,1,,,,,,,,
7/3/19,1,G,spider,2,8,0,"black and grey splotchy head and body, grey legs, black tail","legs have black hairs on them, has 6 eyes all over head, 5mm in length",3,,,oo-7-3-1G-spider
7/3/19,1,G,beetle,1,6,2,"black head, yellow and black splotchy body and tail, legs are yellow with black spots","red fly eyes (70%), long head, translucent wings, around 7mm in size",3,,,oo-7-3-1G-fly4
7/3/19,1,G,fly,1,6,2,"black all over, legs have black thighs and yellow tips","grey fly eyes (50%), wings are black, 2-3mm in length",3,,,oo-7-3-1G-fly3
7/3/19,1,G,fly (same as pu row 382),1,6,2,"black all over, black upper half of legs and then slowly turns ligher at the bottom portion of the legs","long and skinny tail, long black antennae, small head with a buldgey body, very long legs (especially its back legs)",3,,pu-7-1-4G-fly1,
7/3/19,1,G,fly,1,6,2,black all over,"translucent wings, red fly eyes (80%), small black antennae, black hair folicles, around 5-6mm in length",3,,,oo-7-3-1G-fly2
7/3/19,1,G,lady bug,1,6,2,"yellow with black spots on head body and forewing, yellow wing","translucent wings, small triangular shape, around 4-5mm in length",3,,Psyllobora vigintiduopunctata? (says its only found in europe though),oo-7-3-1G-beetle3
7/3/19,1,G,fly,1,6,2,"grey all over, legs are yellowy grey","legs are long (1cm), shoulder blades have a black stripe, long antennae, body is around 2-3mm in size",3,,,oo-7-3-1G-fly1
7/3/19,1,G,beetle,1,6,2,"black and brown splotchy all over, yellow legs","wings lie vertically along its back, antennae are yellow with beads at the end of it, small white hair follicles",3,,,oo-7-3-1G-beetle2
7/3/19,1,G,beetle,1,6,2,black all over,"tail have vertical ridges along it and wings lie vertically along its back, nose is long and comes off the head, legs have segmented ends, has 2 antennae coming off of its nose, around 2mm in length",3,,,oo-7-3-1G-beetle1
7/3/19,1,P,beetle,2,6,4,glossy black,large (~5cm),3,,stag beetle,00-7-3-P-beetle
7/3/19,2,G,spider,3,8,0,"black head body and tail, brown legs","has white hairs all over the head, and body, black eyes, around 5mm in size",3,,,oo-7-3-1G-spider1
7/3/19,2,G,beetle/cicada,1,6,2,"yellow with black spots on head, black/brown splotchy body and tail, legs are translucuent ","translucent wings, head is round and triangular, black fly eyes (30%), around 2-3mm in size",3,,,
7/3/19,2,G,classic big black fly,8,,,,,,,,
7/3/19,2,G,fly,17,6,2,"black all over, legs are black with yellow joints","translucent wings, black hairs all over body, around 1-2mm long",3,,,
7/3/19,2,G,fly,18,6,2,"black all over, thighs are black, lower part of legs are yellow","dark red eyes on side of its head (30%), wings lie vertically along its back, around 1-2mm in size, long black antennae,",3,,,oo-7-3-1G-fly3
7/3/19,2,G,beetle/cicada,1,6,2,"green head, body and tail, yellow abdomen, yellow legs","green wings, round triangular head, around 5-7mm in size",3,,,oo-7-3-1G-beetle1
7/3/19,2,G,beetle/cicada,12,6,2,"black and brown splotchy all over, yellow legs","round triangular head, around 2-3mm in size",3,,,oo-7-3-1G-beetle/cicada
7/3/19,2,G,ant,2,6,0,dark brown all over,around 4-5mm in size,3,,,oo-7-3-1G-ant1
7/3/19,2,G,fly,1,6,0,"black head and body, yellow and black tail, thighs are black and bottom part of the legs are yellow","red eyes (80%), small black antennae, around 5mm in size",3,,,oo-7-3-1G-fly4
7/3/19,2,G,fly,2,6,2,"black all over, yellow legs","long beady black antennae, around 1-2mm in length",3,,,oo-7-3-1G-fly5
7/3/19,2,G,cucumber  beetle,3,,,,,,,cucumber beetle,
7/3/19,2,G,beetle,1,6,2,black all over with orange sides on its tail,"small dark orange antennae, aournd 2-3mm in size",3,,,oo-7-3-1G-beetle2
7/3/19,2,G,fly,1,6,2,"black head and body, tail has brown and black parrts, brown legs","brown beady antennae, translucent wings, tail is long and skinny, around 4mm in size",3,,,oo-7-3-1G-fly2
7/3/19,2,G,fly,1,6,2,"black all over, brown legs","long brown beady antennae, translucent wings, 2-3mm in size",3,,,oo-7-3-1G-fly3
7/3/19,2,G,fly,1,6,2,"black head and body, yellow legs","translucent wings, orange fly eyes (80%), tail wasnt there",3,,,oo-7-3-1G-fly5
7/3/19,2,G,beetle,2,6,2,"brown all over, brown legs","black fly eyes, brown antennae and at the top has segments, wings lie vertically along its back",3,,,oo-7-3-1G-beetle4
7/3/19,2,G,fly,1,6,2,"brown head and body, black tail, brown legs","grey translucent wings, brown fly eyes (80%), 1cm in length",3,,,oo-7-3-1G-fly6
7/3/19,2,G,fly,1,6,2,"black body and tail, brown head","small masses coming off the front of its face, around 2-3mm in size, ",3,,,oo-7-3-1G-fly1
7/3/19,2,G,ant,1,6,0,brown all over,"brown antennae, black eyes, around 5mm in length",3,,,
7/12/19,2,F,fly,3,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, second segment looks a little scaly",3 segemnts ,,,
7/12/19,2,F,striped cucumber beetle,1,,,,,,,striped cucumber beetle,
7/12/19,2,F,beetle,1,6,2,"black and yellow legs, golden wings, black body, yellow head","thighs are black and rest of leg is yellow, hunched back that looks like a shell, golden body and tint wings under shell, around 2-3mm in length",2,,,
7/12/19,2,F,fly,1,6,2,"black mid section, yellow and black striped third section, metallic black head, clear wings","around 3-4mm in length, ",3,,,
7/12/19,2,F,gnat,1,6,2,black with translucent light brown legs transparent wings,"small head with long antannae, spherical hunchbacked thorax, relatively long stretched egg-shaped lumbar, relatively very long legs",3,,,
7/12/19,2,F,orange larva,1,,,,,,,orange larva,
7/12/19,2,F,beetle,1,6,2,"light brown, dark brown and light yellow body, light brown and light yellow head, light brown and clear legs, red/brown eyes,  ","long brown nose with a black tip, striped under belly, body comes to a tip, around 3mm in length",2,,,
7/12/19,2,F,beetle,1,6,2,"brown head and mid section, third section brown with light brown spots, light brown legs","around 1mm in length, black eyes, beaded antenna, ",3,,,
7/12/19,2,F,fly,1,6,2,"black head, dark blue metallic body and tail, black legs","translucent wings, small hair follicles on leg and some ofn body, big dark red fly eyes (85%), white lines that go horizantally along the tail, around 1cm in size",3,,,
7/12/19,2,F,fly,1,6,2,"yellow head, yellow/ black top of body and metallic lighter blue rest of body, yellow wings and legs","around 2-3mm in length, scaly upper part of body and the porton under the wings is very shinny and smooth",2,,,
7/12/19,2,F,fly,1,6,2,"golden head, dark blue body, clear wings, black and yellow/clear legs  ","pointed head, around 3mm in length, blue section is lined and has a golden triangular segment at the top",2,,,
7/12/19,1,G,fly,8,6,2,"yellow head, yellow/ black top of body and metallic lighter blue rest of body, yellow wings and legs","around 2-3mm in length, scaly upper part of body and the porton under the wings is very shinny and smooth",2,,,
7/12/19,1,G,ants,26,6,0,"reddish brown body and head, light brown legs","around 2mm in length, head is much larger than other segments",3,,,
7/12/19,1,G,fly,2,6,2,"blackhead and body, yellow legs, clear wings","around 1mm in length, back legs are longer than front legs",3,,,
7/12/19,1,G,fly,1,6,2,"black and yellow striped face and wings, yellow legs and eyes, metallic blue body","around 2-3mm in length, head comes to a point, light blue strip on the top of the head",2,,,
7/12/19,1,G,little black fly,3,6,2,,,,,,
7/12/19,1,G,fly,14,6,2,light brown translucent/ yellow skin layer where the body is brown underneath and black eyes ,"around 2mm in length, the grey part is metallic and could be part of the wings ",2,,,
7/12/19,1,G,fly,19,6,2,"translucent yellow wings, body, head and legs","around 2mm in length, two black dots where the nose would be, the body is less yellow and somewhat brownish ",2,,,
7/12/19,1,G,beetle,1,6,2,"orange and brown mid section and third section, black head and orange legs","brown strip going down the mid section and brown dots on the third section ( 4 dots in total), orange translucent body underneath the wings, around 4mm in length",3,,,
7/12/19,1,G,beetle,4,6,2,black all over with orange sides on its tail,"small dark orange antennae, aournd 2-3mm in size",3,,,
7/12/19,1,G,beetle,1,6,2,"yellow legs with black dots, brown eyes,mix of black and yellow head, yellow body, brown ans clear wings","around 5-6mm in length, very small head, thicker thighs, ",2,,,
7/12/19,1,G,beetle,1,6,2,"light brown body with four large dark brownish red spots, light brown legs and head","two of the spots are on the middle of the wings and then two smaller ones that are near the top of the wings, the wing exterior has small look water droplet beads in a line going down the wings, less than 1mm in length",2,,,
7/12/19,1,G,insect,1,6,0,"yellow legs with some brown markings, long white hairs, yellow head, greyish brown body","around 1mm in length, long yellow antenna, very round body, extremely small head",2,,,
7/12/19,1,G,fly ,1,6,2,"bright yellow legs,back legs have a black strip on them, black body and head","around 3mm in length, very long black antenna with two yellow marks, small yellow dots on its back",3,,,
7/12/19,1,G,fly,1,6,2,"black head, dark blue metallic body and tail, black legs","translucent wings, small hair follicles on leg and some ofn body, big dark red fly eyes (85%), white lines that go horizantally along the tail, around 1cm in size",3,,,
7/12/19,1,G,fly,1,6,2,Black head and thorax. Antannae begin yellow and then become and stay black. Lumbar region translucent yellow and legs translucent yellow. Wings milky white with some rainbow irridescence,"head smushed around thorax. Antannae substantially longer than body. Extremely thin ""neck"" connector between head and thorax. Wings attach at very prominent lateral thoracic joints. Eyes relatively small, half-spheres",3,,,
7/12/19,1,P,beetle,1,6,2,"dark brown/ black body and head, light brown legs","around 7-8mm in length, smooth shinny wings",3,,,
7/12/19,1,P,beetle,1,6,2,,,,,,
7/12/19,1,P,ant,1,6,0,"black head and body, brown legs","brown antennae coming off the front of its face, aorund 4mm length",3,,,
7/12/19,1,P,spider,1,8,0,completely yellow,"very large egg sack, around 5mm in length",2,,,
7/12/19,1,P,spider,2,8,0,"white and yellow egg sack, brownish white legs,light brown head and body","eggs has one large patch of yellow in the middle and then the rest is white, around 4mm in length, ",2,,,
7/12/19,2,P,ant,1,6,0,"black head and body, brown legs","brown antennae coming off the front of its face, aorund 4mm length",3,,,
7/12/19,2,P,tic?,1,6,0,all black,"beaded antenna, little specs going down its back in lines, the body is more of a metallic back, around 1mm in length",2,,,
7/12/19,2,G,fly,20,6,2,"black all over, black legs","translucent wings, small grey fly eyes, around 2-3mm in length",3,,,
7/12/19,2,G,beetle,5,6,2,"dark brown all over, golden brown legs","same features as the flour beetle but 1-3mm in size, ",3,,,
7/12/19,2,F,fly,5,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, second segment looks a little scaly",3 segemnts ,,,
7/12/19,2,G,classic big black fly,29,,,,,,,,
7/12/19,2,F,fly,6,6,2,light brown translucent/ yellow skin layer where the body is brown underneath and black eyes ,"around 2mm in length, the grey part is metallic and could be part of the wings ",2,,,
7/12/19,2,G,ant,1,6,0,"golden all over, lighter shade legs","black ant eyes, classic ant features, around 1-2mm in length",3,,,
7/12/19,2,F,little black fly,2,,,,,,,little black fly,
7/12/19,2,F,fly,2,6,2,"translucent yellow wings, body, head and legs","around 2mm in length, two black dots where the nose would be, the body is less yellow and somewhat brownish ",2,,,
7/12/19,2,G,ant,4,6,0,"black all over, dark brown legs","classic ant features, medium sized black antennae, around 1-2mm in length",2,,,
7/12/19,2,G,beetle/cicada,5,6,2,"green and yellow head, black tail, yellow legs","translucent wings, round triangular head, tail is cone shaped, aroudn 3-4mm in lengthh",3,,,
7/12/19,2,G,cucumber beetle,7,,,,,,,,
7/12/19,2,G,fly,1,6,2,"black all over, black thighs, yellow lower legs, ","translucent wings, small black masses coming off the front of its face with small antennae comiing off of the masses, ar0und 2-3mm in length",3,,,
